Simulated Annealing Hill Climbing result:

Case:  [0, 1, 3, 1] ----> [1, 3, 0, 2]
Case:  [2, 1, 2, 1] ----> [1, 3, 0, 2]
Case:  [3, 3, 2, 0] ----> [1, 3, 0, 2]
Case:  [0, 3, 1, 3] ----> [2, 0, 3, 1]
Case:  [2, 0, 2, 3] ----> [2, 0, 3, 1]
Case:  [1, 1, 0, 1] ----> [1, 3, 0, 2]
Case:  [1, 1, 1, 2] ----> [1, 3, 0, 2]
Case:  [0, 1, 1, 0] ----> [1, 3, 0, 2]
Case:  [2, 3, 3, 1] ----> [1, 3, 0, 2]
Case:  [2, 0, 1, 2] ----> [2, 0, 3, 1]
Case:  [3, 2, 1, 1] ----> [1, 3, 0, 2]
Case:  [1, 1, 0, 3] ----> [1, 3, 0, 2]
Case:  [1, 3, 3, 2] ----> [1, 3, 0, 2]
Case:  [2, 0, 3, 1] ----> [2, 0, 3, 1]
Case:  [2, 1, 2, 2] ----> [1, 3, 0, 2]
Case:  [2, 0, 2, 1] ----> [2, 0, 3, 1]
Case:  [2, 0, 2, 1] ----> [2, 0, 3, 1]
Case:  [3, 2, 1, 3] ----> [1, 3, 0, 2]
Case:  [0, 1, 0, 0] ----> [1, 3, 0, 2]
Case:  [1, 3, 2, 3] ----> [1, 3, 0, 2]
Case:  [1, 3, 3, 0] ----> [1, 3, 0, 2]
Case:  [0, 0, 0, 1] ----> [2, 0, 3, 1]
Case:  [3, 3, 0, 2] ----> [2, 0, 3, 1]
Case:  [3, 3, 1, 1] ----> [1, 3, 0, 2]
Case:  [1, 1, 0, 1] ----> [1, 3, 0, 2]
Case:  [1, 1, 2, 3] ----> [2, 0, 3, 1]
Case:  [0, 0, 1, 0] ----> [2, 0, 3, 1]
Case:  [0, 1, 2, 0] ----> [1, 3, 0, 2]
Case:  [1, 1, 3, 1] ----> [1, 3, 0, 2]
Case:  [2, 1, 2, 2] ----> [2, 0, 3, 1]
Case:  [1, 3, 3, 0] ----> [2, 0, 3, 1]
Case:  [2, 2, 1, 1] ----> [2, 0, 3, 1]
Case:  [1, 2, 0, 3] ----> [2, 0, 3, 1]
Case:  [0, 0, 2, 1] ----> [2, 0, 3, 1]
Case:  [0, 2, 3, 0] ----> [1, 3, 0, 2]
Case:  [1, 1, 1, 2] ----> [2, 0, 3, 1]
Case:  [1, 0, 3, 0] ----> [2, 0, 3, 1]
Case:  [3, 0, 3, 1] ----> [1, 3, 0, 2]
Total case number: 100, Success case number: 100
Success rate: 1.0
